name,owner,language,age_years,pull_requests,releases,last_update_days,issues_total,issues_closed,issues_ratio,stars,contributors
Trilium,TriliumNext,TypeScript,8.257534246575343,628,334,0,4578,3494,0.763215377894277,30401,185
weekly,ascoders,JavaScript,8.432876712328767,136,193,-1,366,363,0.9918032786885246,30379,74
webtorrent,webtorrent,JavaScript,11.863013698630137,963,228,-1,1663,1598,0.9609140108238123,30370,182
exo,exo-explore,Python,1.1643835616438356,207,12,-1,508,146,0.2874015748031496,30369,51
medusa,medusajs,TypeScript,5.6,7471,128,-1,3270,3171,0.9697247706422019,30356,379
rocksdb,facebook,C++,12.736986301369862,609,206,-1,3407,2636,0.7737012034047549,30353,851
fabric.js,fabricjs,TypeScript,15.216438356164383,2343,174,-1,6184,5761,0.9315976714100905,30339,311
umami,umami-software,TypeScript,5.104109589041096,799,99,-1,1839,1763,0.958673191952148,30339,316
lux,iawia002,Go,7.498630136986302,300,86,-1,1060,540,0.5094339622641509,30334,108
layui,layui,JavaScript,9.926027397260274,590,158,0,1365,1298,0.9509157509157509,30333,63
NeteaseCloudMusicApi,Binaryify,Unknown,9.175342465753424,292,0,0,1337,1190,0.8900523560209425,30320,93
tqdm,tqdm,Python,10.23013698630137,287,131,0,1026,587,0.5721247563352827,30301,113
docsify,docsifyjs,JavaScript,8.761643835616438,731,15,-1,1287,1199,0.9316239316239316,30293,176
GPTs,linexjlin,Unknown,1.7835616438356163,42,0,0,28,21,0.75,30270,29
alpine,alpinejs,HTML,5.739726027397261,657,137,0,612,612,1.0,30240,284
HEAD,joshbuchea,Unknown,9.347945205479451,86,0,0,93,73,0.7849462365591398,30222,60
numpy,numpy,Python,14.953424657534246,13102,132,-1,13495,11397,0.8445350129677658,30219,1776
AI-Expert-Roadmap,AMAI-GmbH,JavaScript,4.832876712328767,13,0,0,66,46,0.696969696969697,30201,9
dioxus,DioxusLabs,Rust,4.605479452054794,1769,25,-1,2064,1635,0.7921511627906976,30188,349
roop,s0md3v,Python,2.241095890410959,80,6,-1,0,0,0,30152,25
CheatSheetSeries,OWASP,Python,6.676712328767123,1076,0,-1,529,487,0.9206049149338374,30142,550
sequelize,sequelize,TypeScript,15.098630136986301,4961,487,1,10402,9511,0.9143433955008652,30131,1069
stanford_alpaca,tatsu-lab,Python,2.4575342465753423,5,0,0,268,98,0.3656716417910448,30129,8
uppy,transloadit,TypeScript,9.775342465753425,3108,241,-1,2452,2292,0.9347471451876019,30116,442
sniffnet,GyulyVGC,Rust,3.0657534246575344,430,14,-1,280,239,0.8535714285714285,30105,56
OpenAPI-Specification,OAI,Markdown,11.482191780821918,1585,12,0,2365,2225,0.9408033826638478,30103,239
pytorch-lightning,Lightning-AI,Python,6.402739726027397,9087,167,-1,7401,6490,0.8769085258748818,30015,1005
hutool,chinabugotech,Java,11.36986301369863,454,152,0,2987,2983,0.9986608637428859,30011,300
tinygrad,tinygrad,Python,4.8493150684931505,7972,13,-1,977,844,0.8638689866939611,29927,420
llm-app,pathwaycom,Jupyter Notebook,2.0986301369863014,47,0,-1,17,12,0.7058823529411765,29922,25
drizzle-orm,drizzle-team,TypeScript,4.167123287671233,610,146,-1,3130,1693,0.5408945686900959,29904,134
surrealdb,surrealdb,Rust,3.706849315068493,2150,92,0,2159,1473,0.682260305697082,29904,147
particles.js,VincentGarreau,JavaScript,10.96986301369863,21,6,0,411,106,0.25790754257907544,29902,14
AdGuardHome,AdguardTeam,Go,9.136986301369863,124,214,-1,5764,4631,0.8034351145038168,29786,204
leakcanary,square,Kotlin,10.323287671232876,921,43,0,1636,1510,0.9229828850855746,29785,181
foundation-sites,foundation,HTML,13.871232876712329,2958,79,0,8236,8179,0.9930791646430306,29766,1026
restic,restic,Go,11.331506849315069,2184,48,-1,2815,2392,0.849733570159858,29761,405
DevToys,DevToys-app,C#,3.9013698630136986,497,38,-1,933,658,0.7052518756698821,29753,77
awesome-python-cn,jobbole,Makefile,9.810958904109588,51,0,-1,31,18,0.5806451612903226,29744,33
awesome-macos-command-line,herrbischoff,Unknown,9.926027397260274,104,0,-1,0,0,0,29744,75
wails,wailsapp,Go,6.693150684931507,1504,243,-1,2132,1873,0.8785178236397748,29716,296
vue-cli,vuejs,JavaScript,9.665753424657535,1259,178,0,5498,4563,0.8299381593306657,29710,522
stb,nothings,C,11.254794520547945,288,0,-1,893,694,0.7771556550951848,29704,194
cheerio,cheeriojs,TypeScript,13.882191780821918,2840,61,1,1221,1199,0.9819819819819819,29703,139
folly,facebook,C++,13.235616438356164,13,254,-1,1224,931,0.7606209150326797,29699,903
Hyprland,hyprwm,C++,3.441095890410959,1885,96,0,7273,7214,0.9918878042073422,29683,501
algo,trailofbits,Python,9.27945205479452,576,3,0,1619,1543,0.9530574428659666,29678,290
vue-vben-admin,vbenjs,Vue,5.120547945205479,1638,60,0,3598,3473,0.9652584769316287,29643,111
WSL,microsoft,C++,9.386301369863014,139,94,-1,11738,10719,0.9131879366161186,29630,95
Mr.-Ranedeer-AI-Tutor,JushBJJ,Unknown,2.4,18,3,-1,47,34,0.723404255319149,29625,12
glances,nicolargo,Python,13.728767123287671,743,51,0,2061,1934,0.9383794274623969,29614,180
apollo,apolloconfig,Java,9.476712328767123,1449,41,0,3352,3212,0.9582338902147971,29611,173
motion,motiondivision,TypeScript,6.772602739726027,1061,0,-1,1858,1570,0.844994617868676,29580,126
project-guidelines,elsewhencode,JavaScript,8.153424657534247,113,0,0,38,29,0.7631578947368421,29558,81
react-boilerplate,react-boilerplate,JavaScript,10.517808219178082,715,16,0,1909,1823,0.9549502357255107,29537,217
500lines,aosabook,JavaScript,11.808219178082192,175,0,1,70,41,0.5857142857142857,29516,60
phantomjs,ariya,C++,14.665753424657535,562,0,1,4745,4731,0.9970495258166491,29480,365
mantine,mantinedev,TypeScript,4.627397260273972,1494,272,0,3245,3224,0.9935285053929122,29463,687
react-three-fiber,pmndrs,TypeScript,6.495890410958904,651,125,-1,1122,1042,0.928698752228164,29419,236
django-rest-framework,encode,Python,14.487671232876712,3021,21,0,3945,3887,0.985297845373891,29393,1204
LibreChat,danny-avila,TypeScript,2.5287671232876714,2141,58,-1,3277,3120,0.9520903265181568,29391,273
tokio,tokio-rs,Rust,8.95890410958904,3596,138,-1,2523,2188,0.8672215616329766,29386,901
hey,heyverse,TypeScript,3.4328767123287673,3765,0,0,0,0,0,29383,114
Hover,IanLunn,SCSS,11.646575342465754,23,10,0,107,83,0.7757009345794392,29376,21
css-protips,AllThingsSmitty,Unknown,9.991780821917809,73,0,0,62,61,0.9838709677419355,29354,43
standard,standard,JavaScript,10.578082191780823,411,7,0,1232,1122,0.9107142857142857,29343,174
canal,alibaba,Java,12.616438356164384,473,32,-1,4731,3571,0.7548087085182836,29330,234
lighthouse,GoogleChrome,JavaScript,9.465753424657533,5467,125,0,9183,8692,0.9465316345420887,29296,355
consul,hashicorp,Go,11.808219178082192,13734,217,-1,5539,4270,0.7708972738761509,29243,2018
handson-ml2,ageron,Jupyter Notebook,6.627397260273972,64,0,-1,517,300,0.5802707930367504,29226,67
xxl-job,xuxueli,Java,9.742465753424657,116,38,0,3235,3031,0.9369397217928903,29211,67
es6features,lukehoban,Unknown,11.482191780821918,41,0,0,57,36,0.631578947368421,29193,37
keycloak,keycloak,Java,12.150684931506849,17543,87,-1,15267,13275,0.8695224995087444,29177,1361
python-guide,realpython,Batchfile,14.452054794520548,683,0,0,279,180,0.6451612903225806,29158,416
DeepFaceLive,iperov,Python,4.69041095890411,13,35,0,144,143,0.9930555555555556,29153,8
Clone-Wars,GorvGoyl,Unknown,4.726027397260274,130,0,0,82,70,0.8536585365853658,29140,100
firecracker,firecracker-microvm,Rust,7.8493150684931505,3191,78,-1,1453,1405,0.9669649002064694,29136,260
viper,spf13,Go,11.4,507,34,0,902,490,0.5432372505543237,29127,177
TrackersListCollection,XIU2,Unknown,5.8931506849315065,7,0,-1,0,0,0,29112,7
swift-algorithm-club,kodecocodes,Swift,9.580821917808219,610,0,1,215,183,0.8511627906976744,29093,253
tuning_playbook,google-research,Unknown,2.5972602739726027,14,0,0,45,34,0.7555555555555555,29092,15
plyr,sampotts,JavaScript,10.528767123287672,384,88,-1,2103,1221,0.5805991440798859,29084,182
composer,composer,PHP,14.219178082191782,2959,215,0,7876,7762,0.9855256475368207,29082,1016
zoxide,ajeetdsouza,Rust,5.471232876712329,227,36,-1,682,580,0.8504398826979472,29064,92
COVID-19,CSSEGISandData,Unknown,5.553424657534246,2152,0,0,3759,2079,0.553072625698324,29046,7
refined-github,refined-github,TypeScript,9.526027397260274,3437,174,0,4513,4383,0.9711943274983381,29022,369
SpringAll,wuyouzhuguli,Java,7.315068493150685,1,0,0,48,27,0.5625,28930,3
llama3,meta-llama,Python,1.441095890410959,23,0,0,293,119,0.4061433447098976,28930,34
react-spring,pmndrs,TypeScript,7.468493150684932,437,52,0,1259,1143,0.9078633836378078,28858,202
postcss,postcss,TypeScript,11.92054794520548,760,268,1,1025,998,0.9736585365853658,28857,395
Complete-Python-3-Bootcamp,Pierian-Data,Jupyter Notebook,7.531506849315068,12,0,0,369,225,0.6097560975609756,28841,5
todomvc,tastejs,JavaScript,14.232876712328768,760,6,0,784,661,0.8431122448979592,28821,328
dragonfly,dragonflydb,C++,3.7013698630136984,3319,108,-1,1856,1587,0.8550646551724138,28752,135
qlib,microsoft,Python,5.027397260273973,725,23,-1,981,724,0.7380224260958206,28738,10000
hosts,StevenBlack,Python,13.372602739726027,486,780,0,2112,1999,0.9464962121212122,28727,153
spring-cloud-alibaba,alibaba,Java,7.7315068493150685,1077,48,0,2500,2304,0.9216,28703,198
JavaScript30,wesbos,HTML,8.715068493150685,153,0,-1,0,0,0,28683,117
os-tutorial,cfenollosa,C,10.906849315068493,11,0,-1,180,105,0.5833333333333334,28675,12
kitty,kovidgoyal,Python,8.857534246575343,1131,128,-1,6275,6265,0.998406374501992,28657,343
linkedin-skill-assessments-quizzes,Ebazhanov,Unknown,6.117808219178082,5638,1,0,891,807,0.9057239057239057,28637,1594
xstate,statelyai,TypeScript,9.947945205479453,1977,443,0,1396,1288,0.9226361031518625,28632,347
slick,kenwheeler,JavaScript,11.424657534246576,258,48,2,3620,2421,0.6687845303867404,28623,161
Jobs_Applier_AI_Agent_AIHawk,feder-cr,Python,1.0520547945205478,185,0,0,674,663,0.983679525222552,28592,66
machine-learning-for-software-engineers,ZuzooVn,Unknown,8.876712328767123,60,0,-1,26,9,0.34615384615384615,28576,38
k6,grafana,Go,9.43013698630137,2165,77,0,2394,1676,0.7000835421888053,28573,253
posthog,PostHog,Python,5.586301369863014,25115,19,0,7710,5563,0.7215304798962386,28567,334
immer,immerjs,JavaScript,7.654794520547945,374,109,0,668,633,0.9476047904191617,28553,186
continue,continuedev,TypeScript,2.252054794520548,2871,405,-1,3669,2942,0.8018533660397928,28538,394
Avalonia,AvaloniaUI,C#,11.723287671232876,5320,110,-1,7877,6160,0.7820236130506538,28509,498
ExplorerPatcher,valinet,C,4.041095890410959,18,288,0,2468,2196,0.8897893030794165,28503,18
turborepo,vercel,Rust,3.884931506849315,6233,496,-1,1937,1811,0.9349509550851832,28484,633
data-science-ipython-notebooks,donnemartin,Python,10.58904109589041,31,0,0,41,22,0.5365853658536586,28478,12
rust-course,sunface,Rust,7.049315068493151,783,0,0,210,149,0.7095238095238096,28472,314
programmer-job-blacklist,shengxinjing,Shell,9.167123287671233,28,0,2,338,181,0.5355029585798816,28457,26
jumpserver,jumpserver,Python,11.145205479452056,7550,250,-1,7323,7291,0.9956302061996449,28455,131
openai-python,openai,Python,4.83013698630137,995,320,-1,1080,988,0.9148148148148149,28447,1223
vuex,vuejs,JavaScript,10.112328767123287,656,51,0,1264,1165,0.9216772151898734,28437,363
podman,containers,Go,7.813698630136987,11712,228,-1,10033,9249,0.9218578690321938,28422,767
openssl,openssl,C,12.610958904109589,145,283,-1,10761,9330,0.8670197936994704,28385,1080
helm,helm,Go,9.887671232876713,4115,216,-1,8147,7679,0.9425555419172702,28382,779
android_guides,codepath,Unknown,12.186301369863013,9,0,0,381,219,0.5748031496062992,28378,113
tdesktop,telegramdesktop,C++,11.317808219178081,1747,799,-1,15250,14371,0.9423606557377049,28333,191
the-super-tiny-compiler,jamiebuilds,JavaScript,9.457534246575342,20,0,1,0,0,0,28330,18
reverse-interview,viraptor,Unknown,5.961643835616439,75,0,-1,25,18,0.72,28309,64
Sunshine,LizardByte,C++,3.6904109589041094,1471,43,-1,1063,984,0.9256820319849483,28299,141
90DaysOfDevOps,MichaelCade,Shell,3.66027397260274,358,2,0,89,80,0.898876404494382,28299,134
vscodium,VSCodium,Shell,7.032876712328767,549,240,-1,1512,1390,0.9193121693121693,28297,120
applied-ml,eugeneyan,Unknown,5.13972602739726,208,0,0,24,22,0.9166666666666666,28245,48
linera-protocol,linera-io,Rust,3.6794520547945204,2688,18,-1,1247,774,0.6206896551724138,28225,91
async,caolan,JavaScript,15.238356164383562,558,7,3,1142,1132,0.9912434325744308,28224,234
gitbook,GitbookIO,TypeScript,11.405479452054795,1302,75,-1,1910,1882,0.9853403141361257,28223,30
druid,alibaba,Java,13.813698630136987,1519,51,-1,4538,2285,0.503525782282944,28182,287
nginxconfig.io,digitalocean,JavaScript,7.635616438356164,191,0,0,239,184,0.7698744769874477,28177,61
nginx-proxy-manager,NginxProxyManager,JavaScript,7.67945205479452,530,77,-1,3000,2085,0.695,28139,202
marker,datalab-to,Python,1.8164383561643835,201,64,-1,558,291,0.521505376344086,28136,24
backbone,jashkenas,JavaScript,14.906849315068493,881,0,0,2406,2364,0.9825436408977556,28107,320
dnSpy,dnSpy,C#,10.153424657534247,53,1,-1,0,0,0,28082,67
swagger-ui,swagger-api,JavaScript,14.117808219178082,3308,376,-1,5636,4428,0.7856635911994322,28067,553
python-telegram-bot,python-telegram-bot,Python,10.136986301369863,1636,127,0,2279,2264,0.9934181658622203,28052,229
Python-programming-exercises,zhiwehu,Unknown,13.2,0,0,0,85,17,0.2,28038,2
ChatGPT,acheong08,Python,2.723287671232877,292,277,-1,803,792,0.9863013698630136,28034,134
trivy,aquasecurity,Go,6.372602739726028,3182,171,-1,2910,2751,0.945360824742268,28026,483
mobx,mobxjs,TypeScript,10.452054794520548,1152,113,0,1972,1914,0.9705882352941176,28014,339
react-select,JedWatson,TypeScript,11.0,1054,61,0,3630,3249,0.8950413223140495,28005,427
waifu2x,nagadomi,Lua,10.276712328767124,68,3,0,368,216,0.5869565217391305,28004,34
Charts,ChartsOrg,Swift,10.435616438356165,427,38,1,4278,3388,0.7919588592800374,27933,161
vhr,lenve,Java,7.638356164383562,1,0,0,254,97,0.38188976377952755,27916,2
erpnext,frappe,Python,14.219178082191782,26454,1000,-1,16782,14509,0.8645572637349541,27896,643
raylib,raysan5,C,11.838356164383562,2166,24,-1,2033,2013,0.9901623216920806,27845,747
headlessui,tailwindlabs,TypeScript,4.936986301369863,619,127,0,1399,1288,0.9206576125804146,27844,97
python-fire,google,Python,8.506849315068493,135,12,0,332,207,0.6234939759036144,27843,82
Web,qianguyihao,Unknown,8.64109589041096,0,0,-1,226,156,0.6902654867256637,27839,1
litellm,BerriAI,Python,2.0767123287671234,5345,988,-1,6588,5727,0.8693078324225865,27830,769
ResumeSample,geekcompany,Unknown,10.964383561643835,2,0,-1,0,0,0,27817,3
create-t3-app,t3-oss,TypeScript,3.252054794520548,1114,138,0,738,675,0.9146341463414634,27814,373
nginx,nginx,C,10.175342465753424,95,8,-1,351,172,0.49002849002849,27814,94
aos,michalsnik,JavaScript,10.131506849315068,38,0,0,704,360,0.5113636363636364,27797,16
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,CamDavidsonPilon,Jupyter Notebook,12.613698630136986,243,0,-1,247,90,0.3643724696356275,27761,140
WindTerm,kingToolbox,C,5.876712328767123,1,32,-1,2744,564,0.2055393586005831,27720,2
yazi,sxyazi,Rust,2.128767123287671,954,27,-1,1419,1378,0.971106412966878,27720,139
EasyOCR,JaidedAI,Python,5.446575342465754,177,23,-1,1072,607,0.566231343283582,27690,113
redash,getredash,Python,11.827397260273973,3256,100,0,2573,1956,0.7602020987174505,27686,489
yapi,YMFE,JavaScript,9.238356164383562,141,1,0,2458,922,0.37510170870626525,27660,89
flameshot,flameshot-org,C++,8.293150684931506,968,30,-1,2766,2099,0.7588575560375994,27609,297
commander.js,tj,JavaScript,14.035616438356165,827,83,0,1138,1131,0.9938488576449912,27569,185
so-vits-svc,svc-develop-team,Python,2.4575342465753423,153,0,0,130,109,0.8384615384615385,27551,45
srs,ossrs,C++,10.326027397260274,508,68,-1,1539,1313,0.8531513970110461,27549,107
